01,231
02,235
03,211
04,251
05,256
06,238
07,221
08,230
09,214
10,264
11,235
12,228
13,236
14,219
15,206
16,239
17,241
18,234
19,217
20,223
21,203
22,202
23,254
24,245
25,213
26,193
27,248
28,245
29,239
30,244
31,218
32,235
33,254
34,242
35,237
36,239
37,248
38,235
39,217
40,223
41,238
42,250
43,242
44,239
45,227
46,229
47,224
48,209
49,232
50,232
51,239
52,235
53,264
54,246
55,196
56,237
57,219
58,229
59,226
60,214
01,231
02,235
03,211
04,251
05,256
06,238
07,221
08,230
09,214
10,264
11,235
12,228
13,236
14,219
15,206
16,239
17,241
18,234
19,217
20,223
21,203
22,202
23,254
24,245
25,213
26,193
27,248
28,245
29,239
30,244
31,218
32,235
33,254
34,242
35,237
36,239
37,248
38,235
39,217
40,223
41,238
42,250
43,242
44,239
45,227
46,229
47,224
48,209
49,232
50,232
51,239
52,235
53,264
54,246
55,196
56,237
57,219
58,229
59,226
60,214
